,precision,recall,f1_score,accuracy,positives,negatives,tnr,npv,fpr,fdr,for,fnr,balanced_accuracy,true_negatives,true_positives,false_negatives,false_positives,kappa,mcc,support,topic_number,ndcg_5,ndcg_10,ndcg_all
0,0.14,0.7368421052631579,0.23529411764705882,0.2222222222222222,19,98,0.12244897959183673,0.7058823529411765,0.8775510204081632,0.86,0.29411764705882354,0.2631578947368421,0.4296455424274973,12,14,5,86,-0.051763311271362245,-0.14726074467538144,117,1,0.0,0.0,0.41358157461584494
1,0.18,0.6428571428571429,0.28125,0.19298245614035087,28,86,0.046511627906976744,0.2857142857142857,0.9534883720930233,0.82,0.7142857142857143,0.35714285714285715,0.3446843853820598,4,18,10,82,-0.16637010676156594,-0.40738903788852965,114,2,0.3391602052736161,0.22009176629808017,0.5153615704872292
2,0.12,0.5,0.1935483870967742,0.15254237288135594,24,94,0.06382978723404255,0.3333333333333333,0.9361702127659575,0.88,0.6666666666666666,0.5,0.28191489361702127,6,12,12,88,-0.20016273393002426,-0.4883028940238392,118,3,0.0,0.12987501165334076,0.39361174128053417
3,0.06,0.6,0.10909090909090909,0.2283464566929134,10,117,0.19658119658119658,0.8518518518518519,0.8034188034188035,0.94,0.14814814814814814,0.4,0.39829059829059826,23,6,4,94,-0.039766081871345005,-0.13390664964772925,127,4,0.44916890612750654,0.32374176140404,0.4447208145659015
4,0.12,0.8,0.20869565217391303,0.24793388429752067,15,106,0.16981132075471697,0.8571428571428571,0.8301886792452831,0.88,0.14285714285714285,0.2,0.4849056603773585,18,12,3,88,-0.008795235913879873,-0.02626836413212474,121,5,0.0,0.32674675680443954,0.5326314997916245
5,0.02,0.3333333333333333,0.03773584905660377,0.20930232558139536,6,123,0.2032520325203252,0.8620689655172413,0.7967479674796748,0.98,0.13793103448275862,0.6666666666666666,0.2682926829268293,25,2,4,98,-0.0548340548340549,-0.23377546321059267,129,6,0.0,0.0,0.15310411943654267
6,0.15,0.7142857142857143,0.24793388429752067,0.2222222222222222,21,96,0.11458333333333333,0.6470588235294118,0.8854166666666666,0.85,0.35294117647058826,0.2857142857142857,0.41443452380952384,11,15,6,85,-0.06929798131967457,-0.18635857052124727,117,7,0.3082168163143322,0.24259542014576774,0.493119427758459
7,0.04,0.8,0.0761904761904762,0.1415929203539823,5,108,0.1111111111111111,0.9230769230769231,0.8888888888888888,0.96,0.07692307692307693,0.2,0.4555555555555556,12,4,1,96,-0.008835710998619462,-0.05728918992315463,113,8,0.0,0.0,0.2312992389997758
8,0.17,0.7083333333333334,0.27419354838709675,0.21052631578947367,24,90,0.07777777777777778,0.5,0.9222222222222223,0.83,0.5,0.2916666666666667,0.3930555555555556,7,17,7,83,-0.0989717223650386,-0.26567524034680634,114,9,0.21167088859887737,0.13735992319036128,0.3930027578537019
9,0.16,0.6666666666666666,0.25806451612903225,0.2,24,91,0.07692307692307693,0.4666666666666667,0.9230769230769231,0.84,0.5333333333333333,0.3333333333333333,0.3717948717948718,7,16,8,84,-0.11839323467230445,-0.3093969872615048,115,10,0.4239502565920201,0.30556523602689845,0.5439577562720833
10,0.14,0.7368421052631579,0.23529411764705882,0.1875,19,93,0.07526881720430108,0.5833333333333334,0.9247311827956989,0.86,0.4166666666666667,0.2631578947368421,0.4060554612337295,7,14,5,86,-0.06968933669185562,-0.2279970280157244,112,11,0.3391602052736161,0.364746506553689,0.596257070491749
11,0.08,0.6153846153846154,0.1415929203539823,0.19166666666666668,13,107,0.14018691588785046,0.75,0.8598130841121495,0.92,0.25,0.38461538461538464,0.37778576563623295,15,8,5,92,-0.06204379562043805,-0.20384513652201958,120,12,0.0,0.0,0.2626293205181584
12,0.1,0.7692307692307693,0.17699115044247787,0.24390243902439024,13,110,0.18181818181818182,0.8695652173913043,0.8181818181818182,0.9,0.13043478260869565,0.23076923076923078,0.4755244755244755,20,10,3,90,-0.012390477033365821,-0.0385981156702344,123,13,0.7709901047358599,0.6892174475459661,0.7583471614258911
13,0.18,0.6206896551724138,0.27906976744186046,0.23770491803278687,29,93,0.11827956989247312,0.5,0.8817204301075269,0.82,0.5,0.3793103448275862,0.36948461253244347,11,18,11,82,-0.14167840611793125,-0.2890153075171559,122,14,0.19178318368566782,0.20285243248997264,0.4034243841078565
14,0.06,0.75,0.1111111111111111,0.16521739130434782,8,107,0.12149532710280374,0.8666666666666667,0.8785046728971962,0.94,0.13333333333333333,0.25,0.4357476635514019,13,6,2,94,-0.020332717190388205,-0.09707562007250357,115,15,0.13777597210996176,0.11298087547243416,0.3262657759682176
15,0.14,0.6666666666666666,0.23140495867768596,0.211864406779661,21,97,0.1134020618556701,0.6111111111111112,0.8865979381443299,0.86,0.3888888888888889,0.3333333333333333,0.3900343642611684,11,14,7,86,-0.08890652907322871,-0.23396249654591264,118,16,0.36297209628774124,0.3645368665091051,0.54109252118444
16,0.07,0.5384615384615384,0.12389380530973451,0.15384615384615385,13,104,0.10576923076923077,0.6470588235294118,0.8942307692307693,0.93,0.35294117647058826,0.46153846153846156,0.3221153846153846,11,7,6,93,-0.09057527539779686,-0.31727238251364137,117,17,0.0,0.0,0.25114115257963415
17,0.05,0.29411764705882354,0.08547008547008547,0.15748031496062992,17,110,0.13636363636363635,0.5555555555555556,0.8636363636363636,0.95,0.4444444444444444,0.7058823529411765,0.21524064171122995,15,5,12,95,-0.18588009424906193,-0.4739657094781656,127,18,0.38356636737133565,0.4329929336437138,0.3671014273796564
18,0.16326530612244897,0.9411764705882353,0.2782608695652174,0.23853211009174313,17,92,0.10869565217391304,0.9090909090909091,0.8913043478260869,0.8367346938775511,0.09090909090909091,0.058823529411764705,0.5249360613810742,10,16,1,82,0.01695099424100832,0.060071274730315316,109,19,1.0,0.6489315753318465,0.8381376435777415
